Date,State,ConfirmedToDate,NewConfirmed,PrevNewConfirmed,DaysToDouble_New,NewConfirmed_2DayAvg,DaysToDouble_2DayAvg,DeathsToDate,NewDeaths,PrevNewDeaths,DaysToDoubleDeath_New,NewDeaths_2DayAvg,DaysToDoubleDeath_2DayAvg,Recovered,Critical,NewCritical,NewCritical_2DayAvg,ActiveCases,DaysIn,DaysIn5,DaysIn100,DaysIn250,DaysIn1000,DaysInDeaths,DaysInDeaths5,DaysInDeaths100,DaysInDeaths250,DaysInDeaths1000,DaysInCritical,DaysInCritical5,DaysInCritical100,DaysInCritical250,DaysInCritical000
3/19/2020,Michigan,334,254,15,0.2,134.5,0.4,1,0,1,,0.5,1.4,,0,0,0,333,3,3,1,1,0,2,0,0,0,0,0,0,0,0,1
3/20/2020,Michigan,549,215,254,1.1,234.5,1.0,3,2,0,0.3,1,0.7,,0,0,0,546,4,4,2,2,0,3,0,0,0,0,0,0,0,0,1
3/21/2020,Michigan,787,238,215,1.6,226.5,1.7,8,5,2,0.4,3.5,0.6,,0,0,0,779,5,5,3,3,0,4,1,0,0,0,0,0,0,0,1
3/22/2020,Michigan,1035,248,238,2.2,243,2.2,9,1,5,5.6,3,1.9,,0,0,0,1026,6,6,4,4,1,5,2,0,0,0,0,0,0,0,1
3/17/20,Minnesota,60,60,0,1.0,60,1.0,0,0,0,1.0,0,1.0,,1,1,1,60,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3/18/20,Minnesota,77,17,60,2.5,38.5,2.5,0,0,0,,0,,,1,1,1,77,2,2,0,0,0,0,0,0,0,0,2,0,0,0,1
3/19/2020,Minnesota,89,12,17,4.5,14.5,3.7,0,0,0,,0,,,1,1,1,89,3,3,0,0,0,0,0,0,0,0,3,0,0,0,1
3/20/2020,Minnesota,115,26,12,2.4,19,3.3,0,0,0,,0,,,1,1,1,115,4,4,1,0,0,0,0,0,0,0,4,0,0,0,1
3/21/2020,Minnesota,137,22,26,3.7,24,3.4,1,1,0,,0.5,,,1,1,1,136,5,5,2,0,0,1,0,0,0,0,5,0,0,0,1
3/22/2020,Minnesota,169,32,22,3.0,27,3.5,1,0,1,0.7,,1.4,,1,1,1,168,6,6,3,0,0,2,0,0,0,0,6,0,0,0,1
3/17/20,Mississippi,21,21,0,1.0,21,1.0,0,0,0,1.0,0,1.0,,0,0,0,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/20,Mississippi,21,0,21,,10.5,,0,0,0,,0,,,0,0,0,21,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
3/19/2020,Mississippi,50,29,0,0.5,14.5,1.0,1,1,0,,0.5,,,0,0,0,49,3,3,0,0,0,1,0,0,0,0,0,0,0,0,1
3/20/2020,Mississippi,80,30,29,1.1,29.5,1.2,1,0,1,,0.5,1.4,,0,0,0,79,4,4,0,0,0,2,0,0,0,0,0,0,0,0,1
3/21/2020,Mississippi,140,60,30,0.9,45,1.2,1,0,0,,0,,,0,0,0,139,5,5,1,0,0,3,0,0,0,0,0,0,0,0,1
3/22/2020,Mississippi,207,67,60,1.5,63.5,1.5,1,0,0,,,,,0,0,0,206,6,6,2,0,0,4,0,0,0,0,0,0,0,0,1
3/17/20,Missouri,13,13,0,1.0,13,1.0,0,0,0,1.0,0,1.0,,0,0,0,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/20,Missouri,24,11,13,0.8,12,0.8,1,1,0,,0.5,,,0,0,0,23,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1
3/19/2020,Missouri,24,0,11,,5.5,2.9,1,0,1,,0.5,1.4,,0,0,0,23,3,3,0,0,0,2,0,0,0,0,0,0,0,0,1
3/20/2020,Missouri,26,2,0,8.1,1,16.1,1,0,0,,0,,,0,0,0,25,4,4,0,0,0,3,0,0,0,0,0,0,0,0,1
3/21/2020,Missouri,73,47,2,0.4,24.5,0.7,3,2,0,0.3,1,0.7,,0,0,0,70,5,5,0,0,0,4,0,0,0,0,0,0,0,0,1
3/22/2020,Missouri,90,17,47,2.9,32,1.5,3,0,2,1.1,0.3,2.1,,0,0,0,87,6,6,0,0,0,5,0,0,0,0,0,0,0,0,1
3/17/20,Montana,9,9,0,1.0,9,1.0,0,0,0,1.0,0,1.0,,0,0,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/20,Montana,12,3,9,2.1,6,2.1,0,0,0,,0,,,0,0,0,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
3/19/2020,Montana,12,0,3,,1.5,5.6,0,0,0,,0,,,0,0,0,12,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1
3/20/2020,Montana,15,3,0,2.8,1.5,5.6,0,0,0,,0,,,0,0,0,15,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1
3/21/2020,Montana,27,12,3,0.9,7.5,1.4,0,0,0,,0,,,0,0,0,27,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1
3/22/2020,Montana,31,4,12,4.7,8,2.4,0,0,0,,,,,0,0,0,31,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1
